##########################################################################################
# OpenQASM SupermarQ VQEProxy Benchmark (9 Qubits, 4 Layers, z Basis) #
##########################################################################################
--- OpenQASM 2.0 ---
OPENQASM 2.0;
rxx(-pi/2) q[4],q[5];
rz(2.9573603674302458) q[4];
rx(0.8455523309076247) q[4];
rz(0.1765072421834999) q[4];
rxx(pi/2) q[3],q[4];
rz(1.7558095269165843) q[3];
rx(1.0735065098603578) q[3];
rz(0.2095105458081119) q[3];
rxx(pi/2) q[2],q[3];
rz(1.3553289452931914) q[2];
rx(1.2555397419391967) q[2];
rz(-1.6690173165315674) q[2];
rxx(pi/2) q[1],q[2];
rz(-0.645792971008476) q[1];
rx(-pi/2) q[1];
rz(pi/2) q[2];
rx(-pi/2) q[2];
rz(pi/2) q[3];
rx(-pi/2) q[3];
rz(pi/2) q[4];
rx(-pi/2) q[4];
rz(1.5891637259705966) q[5];
rx(1.1514622174987457) q[5];
rz(3.0965062960147964) q[5];
rx(-0.6938117658734824) q[6];
rz(1.9635732917482827) q[6];
rxx(-pi/2) q[5],q[6];
rz(-0.035958005991484576) q[5];
rx(1.887015082605913) q[5];
rz(3.074734437362583) q[5];
rxx(pi/2) q[4],q[5];
rz(-2.986423019252948) q[4];
rx(1.7856869137592066) q[4];
rz(-1.4857573436237494) q[4];
rxx(pi/2) q[3],q[4];
rz(-0.03482295616509212) q[3];
rx(1.8387476063788883) q[3];
rz(-2.756796378905678) q[3];
rxx(pi/2) q[2],q[3];
rz(-2.540941155164118) q[2];
rx(-pi/2) q[2];
rz(pi/2) q[3];
rx(-pi/2) q[3];
rz(pi/2) q[4];
rx(-pi/2) q[4];
rz(pi/2) q[5];
rx(-pi/2) q[5];
rz(-0.47912802355497286) q[6];
rx(1.958485333147962) q[6];
rz(1.376866526628735) q[6];
rx(-1.6795360392943743) q[7];
rz(1.7130852226930209) q[7];
rxx(-pi/2) q[6],q[7];
rz(-2.122939154640429) q[6];
rx(2.463611715908731) q[6];
rz(1.749899683816805) q[6];
rxx(pi/2) q[5],q[6];
rz(-0.8602765126253455) q[5];
rx(1.1319659354898708) q[5];
rz(-1.5861426070372837) q[5];
rxx(pi/2) q[4],q[5];
rz(0.49922807796416846) q[4];
rx(0.41380320826020645) q[4];
rz(2.8320811858273576) q[4];
rxx(pi/2) q[3],q[4];
rz(-2.3977937096157556) q[3];
rx(-pi/2) q[3];
rz(pi/2) q[4];
rx(-pi/2) q[4];
rz(pi/2) q[5];
rx(-pi/2) q[5];
rz(pi/2) q[6];
rx(-pi/2) q[6];
rz(0.8558536558190704) q[7];
rx(1.5606474935907924) q[7];
rz(-1.582485647458411) q[7];
rx(-1.5206001906055078) q[8];
rz(1.5449407532811428) q[8];
rxx(-pi/2) q[7],q[8];
rz(-1.5277004746784586) q[7];
rx(1.8667767823378336) q[7];
rz(-2.235378716812552) q[7];
rxx(pi/2) q[6],q[7];
rz(2.9352986395089395) q[6];
rx(1.9999053942126896) q[6];
rz(1.843598405215074) q[6];
rxx(pi/2) q[5],q[6];
rz(2.8570697784078734) q[5];
rx(0.9974532753323498) q[5];
rz(-2.3903256357167724) q[5];
rxx(pi/2) q[4],q[5];
rz(-1.9994180191202906) q[4];
rx(-pi/2) q[4];
rz(pi/2) q[5];
rx(-pi/2) q[5];
rz(pi/2) q[6];
rx(-pi/2) q[6];
rz(-pi/2) q[7];
rx(0.9437444016706932) q[7];
rz(-0.2549148271010475) q[8];
rx(2.038881046845367) q[8];
rz(2.977746148007112) q[8];
rxx(-pi/2) q[7],q[8];
rz(-3.098086968418389) q[7];
rx(0.9842615430416589) q[7];
rz(-1.0443304035696737) q[7];
rxx(pi/2) q[6],q[7];
rz(2.5427250125536656) q[6];
rx(1.2793550007225538) q[6];
rz(-0.18349952694068783) q[6];
rxx(pi/2) q[5],q[6];
rz(-1.909082871366202) q[5];
rx(-pi/2) q[5];
rz(pi/2) q[6];
rx(-pi/2) q[6];
rz(-pi/2) q[7];
rx(2.334980278521367) q[7];
rz(-0.6228792736873823) q[8];
rx(2.0695259948878593) q[8];
rz(-0.49460698871447306) q[8];
rxx(-pi/2) q[7],q[8];
rz(3.07344542356865) q[7];
rx(1.0635463620572838) q[7];
rz(-0.18469736818218685) q[7];
rxx(pi/2) q[6],q[7];
rz(-1.504426335107607) q[6];
rx(-pi/2) q[6];
rz(pi/2) q[7];
rx(-pi/2) q[7];
rz(-0.24944915338361495) q[8];
rx(0.9818831748270141) q[8];
rz(0.524029563376442) q[8];
rxx(pi/2) q[7],q[8];
rz(-2.0759539523647073) q[7];
rx(-pi/2) q[7];
rz(-3.024190645288919) q[8];
rx(-pi/2) q[8];
measure q[0] -> m0[0];
measure q[1] -> m0[1];
measure q[2] -> m0[2];
measure q[3] -> m0[3];
measure q[4] -> m0[4];
measure q[5] -> m0[5];
measure q[6] -> m0[6];
measure q[7] -> m0[7];
measure q[8] -> m0[8];
