##########################################################################################
# OpenQASM SupermarQ VQEProxy Benchmark (9 Qubits, 3 Layers, z Basis) #
##########################################################################################
--- OpenQASM 2.0 ---
OPENQASM 2.0;
rx(1.1356103152115076) q[3];
rz(-1.0799636386804727) q[3];
rxx(pi/2) q[2],q[3];
rz(2.062543761273325) q[2];
rx(-pi/2) q[2];
rz(pi/2) q[3];
rx(-pi/2) q[3];
rz(pi/2) q[4];
rx(-pi/2) q[4];
rz(-0.5274359491798766) q[5];
rx(1.3134002746795732) q[5];
rz(-1.4235914332961563) q[5];
rx(-0.6101108028569405) q[6];
rz(1.5827512182402064) q[6];
rxx(-pi/2) q[5],q[6];
rz(-1.4219677513009885) q[5];
rx(1.4214341490487226) q[5];
rz(2.861371219346383) q[5];
rxx(pi/2) q[4],q[5];
rz(0.4477436955591956) q[4];
rx(2.3948611977928347) q[4];
rz(-0.9411477859499118) q[4];
rxx(pi/2) q[3],q[4];
rz(0.2586684224204685) q[3];
rx(-pi/2) q[3];
rz(pi/2) q[4];
rx(-pi/2) q[4];
rz(pi/2) q[5];
rx(-pi/2) q[5];
rz(2.3403418758728005) q[6];
rx(1.5588982835238065) q[6];
rz(1.583076802148618) q[6];
rx(0.07116139213946211) q[7];
rz(2.3446001627211457) q[7];
rxx(-pi/2) q[6],q[7];
rz(3.117335771821174) q[6];
rx(0.5768950338453751) q[6];
rz(0.3460106512745238) q[6];
rxx(pi/2) q[5],q[6];
rz(-0.516867767974555) q[5];
rx(1.9334959160112597) q[5];
rz(0.8866662226666531) q[5];
rxx(pi/2) q[4],q[5];
rz(-0.5444326875224306) q[4];
rx(-pi/2) q[4];
rz(pi/2) q[5];
rx(-pi/2) q[5];
rz(pi/2) q[6];
rx(-pi/2) q[6];
rz(1.5340341818178658) q[7];
rx(1.2249376056678025) q[7];
rz(0.10806762031010253) q[7];
rx(3.119538492465948) q[8];
rz(1.6284683898959216) q[8];
rxx(-pi/2) q[7],q[8];
rz(0.14252948419323763) q[7];
rx(1.8474059229761874) q[7];
rz(-2.7857593372798775) q[7];
rxx(pi/2) q[6],q[7];
rz(-2.9991808400331603) q[6];
rx(1.0000625608755496) q[6];
rz(-1.8034491920588485) q[6];
rxx(pi/2) q[5],q[6];
rz(-1.685132980099425) q[5];
rx(-pi/2) q[5];
rz(pi/2) q[6];
rx(-pi/2) q[6];
rz(pi/2) q[7];
rx(-0.7875160305630392) q[7];
rz(1.4928561361823505) q[8];
rx(2.334666705411796) q[8];
rz(-0.3852705707567581) q[8];
rxx(-pi/2) q[7],q[8];
rz(1.9029934136642375) q[7];
rx(2.4348326612335303) q[7];
rz(-0.4292397724214756) q[7];
rxx(pi/2) q[6],q[7];
rz(-1.4940496360374045) q[6];
rx(-pi/2) q[6];
rz(pi/2) q[7];
rx(-pi/2) q[7];
rz(-2.9563216246290263) q[8];
rx(2.556317917153841) q[8];
rz(1.5678814444727367) q[8];
rxx(pi/2) q[7],q[8];
rz(2.414952401309189) q[7];
rx(-pi/2) q[7];
rz(1.5189643997448083) q[8];
rx(-pi/2) q[8];
measure q[0] -> m0[0];
measure q[1] -> m0[1];
measure q[2] -> m0[2];
measure q[3] -> m0[3];
measure q[4] -> m0[4];
measure q[5] -> m0[5];
measure q[6] -> m0[6];
measure q[7] -> m0[7];
measure q[8] -> m0[8];
